
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"June","2014","Top of hill or gradient","Other",0,0,0,0,0
"June","2014","Top of hill or gradient","Unknown",1,1,2,1,0
"June","2014","Bottom of hill or gradient","Clear and sunny",78,125,209,115,3
"June","2014","Bottom of hill or gradient","Overcast, cloudy but no precipitation",16,22,33,19,2
"June","2014","Bottom of hill or gradient","Raining",18,31,40,24,0
"June","2014","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2014","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2014","Bottom of hill or gradient","Visibility limitation",1,1,1,1,0
"June","2014","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2014","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2014","Bottom of hill or gradient","Unknown",1,1,2,1,0
"June","2014","Other","Clear and sunny",13,18,26,16,0
"June","2014","Other","Overcast, cloudy but no precipitation",2,2,3,2,0
"June","2014","Other","Raining",3,6,7,4,0
"June","2014","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2014","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2014","Other","Visibility limitation",0,0,0,0,0
"June","2014","Other","Strong wind",0,0,0,0,0
"June","2014","Other","Other",0,0,0,0,0
"June","2014","Other","Unknown",2,3,6,3,0
"June","2014","Unknown","Clear and sunny",450,822,1158,580,14
"June","2014","Unknown","Overcast, cloudy but no precipitation",10,15,23,13,0
"June","2014","Unknown","Raining",56,107,146,71,0
"June","2014","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2014","Unknown","Freezing rain, sleet, hail",1,2,3,1,0
"June","2014","Unknown","Visibility limitation",0,0,0,0,0
"June","2014","Unknown","Strong wind",0,0,0,0,0
"June","2014","Unknown","Other",6,10,17,6,0
"June","2014","Unknown","Unknown",33,57,83,37,0
"June","2015","Straight and level","Clear and sunny",6176,11707,16353,8433,82
"June","2015","Straight and level","Overcast, cloudy but no precipitation",592,1092,1509,806,5
"June","2015","Straight and level","Raining",786,1477,2132,1089,5
"June","2015","Straight and level","Snowing, not including drifting snow",2,4,4,3,0
"June","2015","Straight and level","Freezing rain, sleet, hail",3,4,9,3,0
"June","2015","Straight and level","Visibility limitation",31,44,60,41,2
"June","2015","Straight and level","Strong wind",4,8,14,5,0
"June","2015","Straight and level","Other",10,20,28,15,1
"June","2015","Straight and level","Unknown",58,110,152,67,2
"June","2015","Straight with gradient","Clear and sunny",703,1305,1865,930,27
"June","2015","Straight with gradient","Overcast, cloudy but no precipitation",72,130,194,105,3
"June","2015","Straight with gradient","Raining",107,180,264,137,1
"June","2015","Straight with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Straight with gradient","Visibility limitation",4,5,7,4,0
"June","2015","Straight with gradient","Strong wind",1,1,4,1,0
"June","2015","Straight with gradient","Other",0,0,0,0,0
"June","2015","Straight with gradient","Unknown",6,8,13,10,0
"June","2015","Curved and level","Clear and sunny",548,774,1104,703,14
"June","2015","Curved and level","Overcast, cloudy but no precipitation",69,90,122,81,2
"June","2015","Curved and level","Raining",84,115,175,106,2
"June","2015","Curved and level","Snowing, not including drifting snow",1,2,2,1,0
"June","2015","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Curved and level","Visibility limitation",5,6,8,5,1
"June","2015","Curved and level","Strong wind",0,0,0,0,0
"June","2015","Curved and level","Other",2,3,4,2,1
"June","2015","Curved and level","Unknown",14,23,32,17,0
"June","2015","Curved with gradient","Clear and sunny",304,430,629,388,10
"June","2015","Curved with gradient","Overcast, cloudy but no precipitation",45,67,94,55,2
"June","2015","Curved with gradient","Raining",64,91,137,91,1
"June","2015","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Curved with gradient","Freezing rain, sleet, hail",1,3,9,3,0
"June","2015","Curved with gradient","Visibility limitation",2,2,2,2,0
"June","2015","Curved with gradient","Strong wind",0,0,0,0,0
"June","2015","Curved with gradient","Other",0,0,0,0,0
"June","2015","Curved with gradient","Unknown",1,1,1,1,0
"June","2015","Top of hill or gradient","Clear and sunny",96,169,233,132,6
"June","2015","Top of hill or gradient","Overcast, cloudy but no precipitation",18,27,42,30,0
"June","2015","Top of hill or gradient","Raining",17,28,37,24,0
"June","2015","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Top of hill or gradient","Visibility limitation",4,7,13,11,0
"June","2015","Top of hill or gradient","Strong wind",0,0,0,0,0
"June","2015","Top of hill or gradient","Other",0,0,0,0,0
"June","2015","Top of hill or gradient","Unknown",0,0,0,0,0
"June","2015","Bottom of hill or gradient","Clear and sunny",62,91,130,77,1
"June","2015","Bottom of hill or gradient","Overcast, cloudy but no precipitation",14,23,35,21,1
"June","2015","Bottom of hill or gradient","Raining",7,10,14,7,0
"June","2015","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Bottom of hill or gradient","Visibility limitation",2,2,2,2,0
"June","2015","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2015","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2015","Bottom of hill or gradient","Unknown",0,0,0,0,0
"June","2015","Other","Clear and sunny",14,21,30,20,0
"June","2015","Other","Overcast, cloudy but no precipitation",0,0,0,0,0
"June","2015","Other","Raining",2,3,3,2,0
"June","2015","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Other","Visibility limitation",0,0,0,0,0
"June","2015","Other","Strong wind",0,0,0,0,0
"June","2015","Other","Other",0,0,0,0,0
"June","2015","Other","Unknown",10,23,27,18,0
"June","2015","Unknown","Clear and sunny",456,877,1239,574,3
"June","2015","Unknown","Overcast, cloudy but no precipitation",7,9,11,8,0
"June","2015","Unknown","Raining",24,42,64,31,2
"June","2015","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2015","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2015","Unknown","Visibility limitation",5,8,10,6,0
"June","2015","Unknown","Strong wind",0,0,0,0,0
"June","2015","Unknown","Other",5,10,13,5,0
"June","2015","Unknown","Unknown",44,68,88,48,4
"June","2016","Straight and level","Clear and sunny",6626,12440,17457,8890,63
"June","2016","Straight and level","Overcast, cloudy but no precipitation",613,1140,1570,817,10
"June","2016","Straight and level","Raining",477,878,1228,654,10
"June","2016","Straight and level","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Straight and level","Freezing rain, sleet, hail",4,5,13,7,0
"June","2016","Straight and level","Visibility limitation",13,24,50,23,0
"June","2016","Straight and level","Strong wind",7,10,17,11,0
"June","2016","Straight and level","Other",5,10,13,6,0
"June","2016","Straight and level","Unknown",72,124,168,88,0
"June","2016","Straight with gradient","Clear and sunny",671,1214,1734,907,11
"June","2016","Straight with gradient","Overcast, cloudy but no precipitation",105,193,264,149,2
"June","2016","Straight with gradient","Raining",75,133,201,103,0
"June","2016","Straight with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2016","Straight with gradient","Visibility limitation",2,4,4,2,0
"June","2016","Straight with gradient","Strong wind",3,4,5,3,0
"June","2016","Straight with gradient","Other",2,4,6,2,0
"June","2016","Straight with gradient","Unknown",2,4,7,2,0
"June","2016","Curved and level","Clear and sunny",623,917,1269,782,21
"June","2016","Curved and level","Overcast, cloudy but no precipitation",77,115,159,96,5
"June","2016","Curved and level","Raining",63,87,121,81,0
"June","2016","Curved and level","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Curved and level","Freezing rain, sleet, hail",1,2,2,1,0
"June","2016","Curved and level","Visibility limitation",1,1,1,1,0
"June","2016","Curved and level","Strong wind",2,2,5,5,0
"June","2016","Curved and level","Other",2,2,3,3,0
"June","2016","Curved and level","Unknown",12,21,30,19,1
"June","2016","Curved with gradient","Clear and sunny",251,361,518,342,7
"June","2016","Curved with gradient","Overcast, cloudy but no precipitation",69,96,125,85,1
"June","2016","Curved with gradient","Raining",42,52,80,61,2
"June","2016","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2016","Curved with gradient","Visibility limitation",1,2,3,1,0
"June","2016","Curved with gradient","Strong wind",2,2,2,2,0
"June","2016","Curved with gradient","Other",0,0,0,0,0
"June","2016","Curved with gradient","Unknown",2,2,2,2,0
"June","2016","Top of hill or gradient","Clear and sunny",90,148,200,121,1
"June","2016","Top of hill or gradient","Overcast, cloudy but no precipitation",11,17,27,13,1
"June","2016","Top of hill or gradient","Raining",9,14,21,13,0
"June","2016","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2016","Top of hill or gradient","Visibility limitation",0,0,0,0,0
"June","2016","Top of hill or gradient","Strong wind",1,1,1,1,0
"June","2016","Top of hill or gradient","Other",0,0,0,0,0
"June","2016","Top of hill or gradient","Unknown",1,2,2,1,0
"June","2016","Bottom of hill or gradient","Clear and sunny",84,151,206,107,2
"June","2016","Bottom of hill or gradient","Overcast, cloudy but no precipitation",15,19,32,23,0
"June","2016","Bottom of hill or gradient","Raining",14,19,26,17,0
"June","2016","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2016","Bottom of hill or gradient","Visibility limitation",1,2,1,1,0
"June","2016","Bottom of hill or gradient","Strong wind",1,2,2,1,0
"June","2016","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2016","Bottom of hill or gradient","Unknown",1,1,5,5,0
"June","2016","Other","Clear and sunny",9,12,15,12,0
"June","2016","Other","Overcast, cloudy but no precipitation",3,4,4,3,0
"June","2016","Other","Raining",1,2,2,1,0
"June","2016","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2016","Other","Visibility limitation",0,0,0,0,0
"June","2016","Other","Strong wind",0,0,0,0,0
"June","2016","Other","Other",0,0,0,0,0
"June","2016","Other","Unknown",1,2,2,1,0
"June","2016","Unknown","Clear and sunny",427,783,1075,521,4
"June","2016","Unknown","Overcast, cloudy but no precipitation",13,23,30,16,1
"June","2016","Unknown","Raining",31,56,67,39,0
"June","2016","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2016","Unknown","Freezing rain, sleet, hail",1,1,4,4,0
"June","2016","Unknown","Visibility limitation",0,0,0,0,0
"June","2016","Unknown","Strong wind",0,0,0,0,0
"June","2016","Unknown","Other",7,15,23,9,0
"June","2016","Unknown","Unknown",40,67,88,52,0
"June","2017","Straight and level","Clear and sunny",6196,11692,16203,8274,69
"June","2017","Straight and level","Overcast, cloudy but no precipitation",639,1176,1585,874,6
"June","2017","Straight and level","Raining",718,1351,1861,954,10
"June","2017","Straight and level","Snowing, not including drifting snow",1,2,3,2,0
"June","2017","Straight and level","Freezing rain, sleet, hail",6,11,18,12,1
"June","2017","Straight and level","Visibility limitation",22,38,49,34,0
"June","2017","Straight and level","Strong wind",7,10,12,9,0
"June","2017","Straight and level","Other",8,13,20,13,1
"June","2017","Straight and level","Unknown",64,115,172,89,1
"June","2017","Straight with gradient","Clear and sunny",619,1141,1617,827,9
"June","2017","Straight with gradient","Overcast, cloudy but no precipitation",85,156,216,111,1
"June","2017","Straight with gradient","Raining",85,145,213,109,1
"June","2017","Straight with gradient","Snowing, not including drifting snow",1,1,2,1,0
"June","2017","Straight with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Straight with gradient","Visibility limitation",3,3,6,3,0
"June","2017","Straight with gradient","Strong wind",0,0,0,0,0
"June","2017","Straight with gradient","Other",1,3,6,1,0
"June","2017","Straight with gradient","Unknown",4,5,6,4,0
"June","2017","Curved and level","Clear and sunny",552,796,1131,730,11
"June","2017","Curved and level","Overcast, cloudy but no precipitation",91,129,168,112,3
"June","2017","Curved and level","Raining",85,118,167,103,3
"June","2017","Curved and level","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Curved and level","Visibility limitation",2,3,3,2,0
"June","2017","Curved and level","Strong wind",0,0,0,0,0
"June","2017","Curved and level","Other",0,0,0,0,0
"June","2017","Curved and level","Unknown",8,14,18,8,2
"June","2017","Curved with gradient","Clear and sunny",227,327,504,306,9
"June","2017","Curved with gradient","Overcast, cloudy but no precipitation",38,54,76,52,1
"June","2017","Curved with gradient","Raining",56,86,117,68,4
"June","2017","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Curved with gradient","Visibility limitation",3,5,9,4,0
"June","2017","Curved with gradient","Strong wind",0,0,0,0,0
"June","2017","Curved with gradient","Other",0,0,0,0,0
"June","2017","Curved with gradient","Unknown",3,3,3,3,0
"June","2017","Top of hill or gradient","Clear and sunny",82,154,199,118,2
"June","2017","Top of hill or gradient","Overcast, cloudy but no precipitation",18,32,38,28,0
"June","2017","Top of hill or gradient","Raining",12,18,21,16,0
"June","2017","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Top of hill or gradient","Visibility limitation",2,3,4,3,0
"June","2017","Top of hill or gradient","Strong wind",1,1,1,1,0
"June","2017","Top of hill or gradient","Other",0,0,0,0,0
"June","2017","Top of hill or gradient","Unknown",0,0,0,0,0
"June","2017","Bottom of hill or gradient","Clear and sunny",69,111,146,83,2
"June","2017","Bottom of hill or gradient","Overcast, cloudy but no precipitation",11,19,26,14,0
"June","2017","Bottom of hill or gradient","Raining",7,11,14,8,0
"June","2017","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Bottom of hill or gradient","Visibility limitation",1,1,3,3,0
"June","2017","Bottom of hill or gradient","Strong wind",2,2,2,2,0
"June","2017","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2017","Bottom of hill or gradient","Unknown",2,2,5,2,0
"June","2017","Other","Clear and sunny",12,20,27,13,0
"June","2017","Other","Overcast, cloudy but no precipitation",1,1,1,1,0
"June","2017","Other","Raining",1,2,2,1,0
"June","2017","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Other","Visibility limitation",0,0,0,0,0
"June","2017","Other","Strong wind",0,0,0,0,0
"June","2017","Other","Other",0,0,0,0,0
"June","2017","Other","Unknown",4,7,9,6,0
"June","2017","Unknown","Clear and sunny",343,661,858,413,4
"June","2017","Unknown","Overcast, cloudy but no precipitation",9,16,20,11,0
"June","2017","Unknown","Raining",30,56,75,38,0
"June","2017","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2017","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2017","Unknown","Visibility limitation",0,0,0,0,0
"June","2017","Unknown","Strong wind",2,5,8,2,0
"June","2017","Unknown","Other",2,3,4,2,0
"June","2017","Unknown","Unknown",47,69,95,59,2
"June","2018","Straight and level","Clear and sunny",6035,11393,15854,8113,103
"June","2018","Straight and level","Overcast, cloudy but no precipitation",557,1000,1391,739,13
"June","2018","Straight and level","Raining",509,914,1357,720,9
"June","2018","Straight and level","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Straight and level","Freezing rain, sleet, hail",2,3,4,2,0
"June","2018","Straight and level","Visibility limitation",20,32,45,27,0
"June","2018","Straight and level","Strong wind",4,4,5,4,0
"June","2018","Straight and level","Other",7,12,17,12,0
"June","2018","Straight and level","Unknown",54,97,125,63,2
"June","2018","Straight with gradient","Clear and sunny",581,1080,1526,844,10
"June","2018","Straight with gradient","Overcast, cloudy but no precipitation",94,166,250,121,2
"June","2018","Straight with gradient","Raining",73,119,173,110,1
"June","2018","Straight with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Straight with gradient","Freezing rain, sleet, hail",2,3,5,4,1
"June","2018","Straight with gradient","Visibility limitation",3,7,10,4,0
"June","2018","Straight with gradient","Strong wind",1,1,1,1,0
"June","2018","Straight with gradient","Other",2,4,7,2,0
"June","2018","Straight with gradient","Unknown",3,5,6,4,0
"June","2018","Curved and level","Clear and sunny",527,777,1097,668,23
"June","2018","Curved and level","Overcast, cloudy but no precipitation",80,112,149,100,10
"June","2018","Curved and level","Raining",62,88,128,76,3
"June","2018","Curved and level","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2018","Curved and level","Visibility limitation",3,4,8,6,0
"June","2018","Curved and level","Strong wind",0,0,0,0,0
"June","2018","Curved and level","Other",3,5,6,4,0
"June","2018","Curved and level","Unknown",5,8,17,12,0
"June","2018","Curved with gradient","Clear and sunny",255,368,530,325,8
"June","2018","Curved with gradient","Overcast, cloudy but no precipitation",60,75,109,75,0
"June","2018","Curved with gradient","Raining",54,69,104,71,3
"June","2018","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2018","Curved with gradient","Visibility limitation",4,4,8,5,0
"June","2018","Curved with gradient","Strong wind",0,0,0,0,0
"June","2018","Curved with gradient","Other",0,0,0,0,0
"June","2018","Curved with gradient","Unknown",3,3,4,3,0
"June","2018","Top of hill or gradient","Clear and sunny",104,180,250,150,0
"June","2018","Top of hill or gradient","Overcast, cloudy but no precipitation",17,27,34,19,0
"June","2018","Top of hill or gradient","Raining",18,28,39,23,0
"June","2018","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Top of hill or gradient","Freezing rain, sleet, hail",1,2,2,1,0
"June","2018","Top of hill or gradient","Visibility limitation",1,1,2,1,0
"June","2018","Top of hill or gradient","Strong wind",0,0,0,0,0
"June","2018","Top of hill or gradient","Other",0,0,0,0,0
"June","2018","Top of hill or gradient","Unknown",0,0,0,0,0
"June","2018","Bottom of hill or gradient","Clear and sunny",73,115,163,89,4
"June","2018","Bottom of hill or gradient","Overcast, cloudy but no precipitation",21,36,59,27,0
"June","2018","Bottom of hill or gradient","Raining",12,20,27,16,0
"June","2018","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2018","Bottom of hill or gradient","Visibility limitation",1,2,1,1,0
"June","2018","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2018","Bottom of hill or gradient","Other",1,1,1,0,1
"June","2018","Bottom of hill or gradient","Unknown",0,0,0,0,0
"June","2018","Other","Clear and sunny",24,33,52,37,0
"June","2018","Other","Overcast, cloudy but no precipitation",4,5,6,5,0
"June","2018","Other","Raining",0,0,0,0,0
"June","2018","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2018","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2018","Other","Visibility limitation",0,0,0,0,0
"June","2018","Other","Strong wind",0,0,0,0,0
"June","2018","Other","Other",0,0,0,0,0
"June","2018","Other","Unknown",4,5,6,4,0
"June","2018","Unknown","Clear and sunny",366,708,943,455,4
"June","2018","Unknown","Overcast, cloudy but no precipitation",20,39,56,25,2
"June","2018","Unknown","Raining",27,48,65,36,0
"June","2018","Unknown","Snowing, not including drifting snow",2,3,3,2,0
"June","2018","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2018","Unknown","Visibility limitation",2,2,3,2,0
"June","2018","Unknown","Strong wind",0,0,0,0,0
"June","2018","Unknown","Other",1,2,2,1,0
"June","2018","Unknown","Unknown",43,63,95,49,2
"June","2019","Straight and level","Clear and sunny",5547,10370,14426,7403,84
"June","2019","Straight and level","Overcast, cloudy but no precipitation",492,871,1240,630,12
"June","2019","Straight and level","Raining",662,1271,1793,920,7
"June","2019","Straight and level","Snowing, not including drifting snow",1,2,2,2,0
"June","2019","Straight and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Straight and level","Visibility limitation",24,34,53,32,0
"June","2019","Straight and level","Strong wind",7,9,17,10,0
"June","2019","Straight and level","Other",12,17,25,13,0
"June","2019","Straight and level","Unknown",43,69,89,53,0
"June","2019","Straight with gradient","Clear and sunny",551,1015,1401,734,12
"June","2019","Straight with gradient","Overcast, cloudy but no precipitation",81,141,224,113,1
"June","2019","Straight with gradient","Raining",64,108,153,88,0
"June","2019","Straight with gradient","Snowing, not including drifting snow",1,2,7,1,0
"June","2019","Straight with gradient","Freezing rain, sleet, hail",3,5,9,4,0
"June","2019","Straight with gradient","Visibility limitation",5,9,13,7,0
"June","2019","Straight with gradient","Strong wind",2,3,5,2,0
"June","2019","Straight with gradient","Other",0,0,0,0,0
"June","2019","Straight with gradient","Unknown",4,5,6,4,0
"June","2019","Curved and level","Clear and sunny",527,770,1042,648,20
"June","2019","Curved and level","Overcast, cloudy but no precipitation",64,94,130,84,3
"June","2019","Curved and level","Raining",67,101,140,83,6
"June","2019","Curved and level","Snowing, not including drifting snow",3,3,5,5,0
"June","2019","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Curved and level","Visibility limitation",5,5,11,8,0
"June","2019","Curved and level","Strong wind",0,0,0,0,0
"June","2019","Curved and level","Other",0,0,0,0,0
"June","2019","Curved and level","Unknown",5,9,14,7,0
"June","2019","Curved with gradient","Clear and sunny",208,298,434,257,8
"June","2019","Curved with gradient","Overcast, cloudy but no precipitation",36,49,77,44,1
"June","2019","Curved with gradient","Raining",33,45,69,46,0
"June","2019","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2019","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Curved with gradient","Visibility limitation",2,2,4,2,0
"June","2019","Curved with gradient","Strong wind",0,0,0,0,0
"June","2019","Curved with gradient","Other",0,0,0,0,0
"June","2019","Curved with gradient","Unknown",2,2,2,2,0
"June","2019","Top of hill or gradient","Clear and sunny",106,182,264,144,6
"June","2019","Top of hill or gradient","Overcast, cloudy but no precipitation",22,38,68,40,0
"June","2019","Top of hill or gradient","Raining",13,17,23,15,0
"June","2019","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2019","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Top of hill or gradient","Visibility limitation",2,2,4,2,0
"June","2019","Top of hill or gradient","Strong wind",0,0,0,0,0
"June","2019","Top of hill or gradient","Other",0,0,0,0,0
"June","2019","Top of hill or gradient","Unknown",2,3,4,2,1
"June","2019","Bottom of hill or gradient","Clear and sunny",64,99,141,78,1
"June","2019","Bottom of hill or gradient","Overcast, cloudy but no precipitation",20,28,38,22,0
"June","2019","Bottom of hill or gradient","Raining",13,18,27,17,2
"June","2019","Bottom of hill or gradient","Snowing, not including drifting snow",1,1,2,1,1
"June","2019","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Bottom of hill or gradient","Visibility limitation",1,2,1,1,0
"June","2019","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"June","2019","Bottom of hill or gradient","Other",0,0,0,0,0
"June","2019","Bottom of hill or gradient","Unknown",1,1,4,1,0
"June","2019","Other","Clear and sunny",20,29,36,23,0
"June","2019","Other","Overcast, cloudy but no precipitation",3,5,6,3,0
"June","2019","Other","Raining",1,2,3,2,0
"June","2019","Other","Snowing, not including drifting snow",0,0,0,0,0
"June","2019","Other","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Other","Visibility limitation",0,0,0,0,0
"June","2019","Other","Strong wind",0,0,0,0,0
"June","2019","Other","Other",0,0,0,0,0
"June","2019","Other","Unknown",2,3,3,2,0
"June","2019","Unknown","Clear and sunny",350,673,919,458,2
"June","2019","Unknown","Overcast, cloudy but no precipitation",14,23,29,16,0
"June","2019","Unknown","Raining",34,66,81,42,0
"June","2019","Unknown","Snowing, not including drifting snow",0,0,0,0,0
"June","2019","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"June","2019","Unknown","Visibility limitation",3,5,10,3,1
"June","2019","Unknown","Strong wind",0,0,0,0,0
"June","2019","Unknown","Other",0,0,0,0,0
"June","2019","Unknown","Unknown",35,55,82,43,2
"June","2020","Straight and level","Clear and sunny",4188,7639,10283,5448,78
"June","2020","Straight and level","Overcast, cloudy but no precipitation",380,665,927,497,9
"June","2020","Straight and level","Raining",234,402,593,309,6
"June","2020","Straight and level","Snowing, not including drifting snow",2,4,5,2,0
"June","2020","Straight and level","Freezing rain, sleet, hail",1,1,1,1,0
"June","2020","Straight and level","Visibility limitation",17,22,35,24,0
"June","2020","Straight and level","Strong wind",8,11,19,11,0
"June","2020","Straight and level","Other",7,17,20,14,0
"June","2020","Straight and level","Unknown",38,57,71,45,0
"June","2020","Straight with gradient","Clear and sunny",451,798,1101,598,14
"June","2020","Straight with gradient","Overcast, cloudy but no precipitation",73,127,201,99,0
"June","2020","Straight with gradient","Raining",43,69,99,56,2
"June","2020","Straight with gradient","Snowing, not including drifting snow",1,2,7,1,0
"June","2020","Straight with gradient","Freezing rain, sleet, hail",3,5,9,4,0
"June","2020","Straight with gradient","Visibility limitation",6,10,13,7,0
"June","2020","Straight with gradient","Strong wind",1,1,1,1,0
"June","2020","Straight with gradient","Other",1,2,2,1,0
"June","2020","Straight with gradient","Unknown",5,8,9,5,0
"June","2020","Curved and level","Clear and sunny",438,622,821,539,22
"June","2020","Curved and level","Overcast, cloudy but no precipitation",48,65,85,57,3
"June","2020","Curved and level","Raining",26,33,48,27,3
"June","2020","Curved and level","Snowing, not including drifting snow",2,2,4,4,0
"June","2020","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Curved and level","Visibility limitation",4,5,11,6,1
"June","2020","Curved and level","Strong wind",0,0,0,0,0
"June","2020","Curved and level","Other",0,0,0,0,0
"June","2020","Curved and level","Unknown",4,6,6,3,1
"June","2020","Curved with gradient","Clear and sunny",209,294,426,255,10
"June","2020","Curved with gradient","Overcast, cloudy but no precipitation",38,52,87,48,2
"June","2020","Curved with gradient","Raining",21,30,48,29,0
"June","2020","Curved with gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2020","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Curved with gradient","Visibility limitation",2,2,4,2,0
"June","2020","Curved with gradient","Strong wind",0,0,0,0,0
"June","2020","Curved with gradient","Other",0,0,0,0,0
"June","2020","Curved with gradient","Unknown",4,4,4,4,0
"June","2020","Top of hill or gradient","Clear and sunny",73,106,165,94,1
"June","2020","Top of hill or gradient","Overcast, cloudy but no precipitation",9,15,26,15,5
"June","2020","Top of hill or gradient","Raining",7,8,13,9,0
"June","2020","Top of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"June","2020","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"June","2020","Top of hill or gradient","Visibility limitation",2,2,3,2,0
"June","2020","Top of hill or gradient","Strong wind",0,0,0,0,0
"June","2020","Top of hill or gradient","Other",0,0,0,0,0
"June","2020","Top of hill or gradient","Unknown",0,0,0,0,0
"June","2020","Bottom of hill or gradient","Clear and sunny",71,115,151,82,4
"June","2020","Bottom of hill or gradient","Overcast, cloudy but no precipitation",13,20,30,17,0
