
,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"July","2015","Oil","Strong wind",0,0,0
"July","2015","Oil","Other",0,0,0
"July","2015","Oil","Unknown",0,0,0
"July","2015","Flooded","Clear and sunny",0,0,0
"July","2015","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2015","Flooded","Raining",3,3,0
"July","2015","Flooded","Snowing, not including drifting snow",0,0,0
"July","2015","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2015","Flooded","Visibility limitation",0,0,0
"July","2015","Flooded","Strong wind",0,0,0
"July","2015","Flooded","Other",0,0,0
"July","2015","Flooded","Unknown",0,0,0
"July","2015","Other","Clear and sunny",31,43,2
"July","2015","Other","Overcast, cloudy but no precipitation",0,0,0
"July","2015","Other","Raining",1,1,0
"July","2015","Other","Snowing, not including drifting snow",0,0,0
"July","2015","Other","Freezing rain, sleet, hail",0,0,0
"July","2015","Other","Visibility limitation",1,1,0
"July","2015","Other","Strong wind",0,0,0
"July","2015","Other","Other",0,0,0
"July","2015","Other","Unknown",0,0,0
"July","2015","Unknown","Clear and sunny",12,19,0
"July","2015","Unknown","Overcast, cloudy but no precipitation",3,3,0
"July","2015","Unknown","Raining",1,1,0
"July","2015","Unknown","Snowing, not including drifting snow",0,0,0
"July","2015","Unknown","Freezing rain, sleet, hail",0,0,0
"July","2015","Unknown","Visibility limitation",2,2,0
"July","2015","Unknown","Strong wind",0,0,0
"July","2015","Unknown","Other",0,0,0
"July","2015","Unknown","Unknown",51,53,2
"July","2016","Dry, normal","Clear and sunny",8492,11659,148
"July","2016","Dry, normal","Overcast, cloudy but no precipitation",730,1016,22
"July","2016","Dry, normal","Raining",6,8,0
"July","2016","Dry, normal","Snowing, not including drifting snow",0,0,0
"July","2016","Dry, normal","Freezing rain, sleet, hail",0,0,0
"July","2016","Dry, normal","Visibility limitation",16,22,0
"July","2016","Dry, normal","Strong wind",5,7,0
"July","2016","Dry, normal","Other",8,12,0
"July","2016","Dry, normal","Unknown",63,73,1
"July","2016","Wet","Clear and sunny",134,187,2
"July","2016","Wet","Overcast, cloudy but no precipitation",138,184,2
"July","2016","Wet","Raining",658,900,6
"July","2016","Wet","Snowing, not including drifting snow",0,0,0
"July","2016","Wet","Freezing rain, sleet, hail",1,1,0
"July","2016","Wet","Visibility limitation",17,20,1
"July","2016","Wet","Strong wind",2,2,0
"July","2016","Wet","Other",5,6,0
"July","2016","Wet","Unknown",8,13,0
"July","2016","Snow (fresh, loose snow)","Clear and sunny",0,0,0
"July","2016","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",0,0,0
"July","2016","Snow (fresh, loose snow)","Raining",0,0,0
"July","2016","Snow (fresh, loose snow)","Snowing, not including drifting snow",0,0,0
"July","2016","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"July","2016","Snow (fresh, loose snow)","Visibility limitation",0,0,0
"July","2016","Snow (fresh, loose snow)","Strong wind",0,0,0
"July","2016","Snow (fresh, loose snow)","Other",0,0,0
"July","2016","Snow (fresh, loose snow)","Unknown",0,0,0
"July","2016","Slush, wet snow","Clear and sunny",0,0,0
"July","2016","Slush, wet snow","Overcast, cloudy but no precipitation",0,0,0
"July","2016","Slush, wet snow","Raining",0,0,0
"July","2016","Slush, wet snow","Snowing, not including drifting snow",0,0,0
"July","2016","Slush, wet snow","Freezing rain, sleet, hail",0,0,0
"July","2016","Slush, wet snow","Visibility limitation",0,0,0
"July","2016","Slush, wet snow","Strong wind",0,0,0
"July","2016","Slush, wet snow","Other",0,0,0
"July","2016","Slush, wet snow","Unknown",0,0,0
"July","2016","Icy","Clear and sunny",1,1,0
"July","2016","Icy","Overcast, cloudy but no precipitation",0,0,0
"July","2016","Icy","Raining",0,0,0
"July","2016","Icy","Snowing, not including drifting snow",0,0,0
"July","2016","Icy","Freezing rain, sleet, hail",1,3,0
"July","2016","Icy","Visibility limitation",0,0,0
"July","2016","Icy","Strong wind",0,0,0
"July","2016","Icy","Other",0,0,0
"July","2016","Icy","Unknown",0,0,0
"July","2016","Sand/gravel/dirt","Clear and sunny",96,119,2
"July","2016","Sand/gravel/dirt","Overcast, cloudy but no precipitation",8,8,0
"July","2016","Sand/gravel/dirt","Raining",4,4,0
"July","2016","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"July","2016","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"July","2016","Sand/gravel/dirt","Visibility limitation",2,3,0
"July","2016","Sand/gravel/dirt","Strong wind",0,0,0
"July","2016","Sand/gravel/dirt","Other",1,1,0
"July","2016","Sand/gravel/dirt","Unknown",2,4,0
"July","2016","Muddy","Clear and sunny",5,6,0
"July","2016","Muddy","Overcast, cloudy but no precipitation",0,0,0
"July","2016","Muddy","Raining",5,5,0
"July","2016","Muddy","Snowing, not including drifting snow",0,0,0
"July","2016","Muddy","Freezing rain, sleet, hail",0,0,0
"July","2016","Muddy","Visibility limitation",0,0,0
"July","2016","Muddy","Strong wind",0,0,0
"July","2016","Muddy","Other",1,1,0
"July","2016","Muddy","Unknown",0,0,0
"July","2016","Oil","Clear and sunny",4,5,0
"July","2016","Oil","Overcast, cloudy but no precipitation",1,1,0
"July","2016","Oil","Raining",0,0,0
"July","2016","Oil","Snowing, not including drifting snow",0,0,0
"July","2016","Oil","Freezing rain, sleet, hail",0,0,0
"July","2016","Oil","Visibility limitation",0,0,0
"July","2016","Oil","Strong wind",0,0,0
"July","2016","Oil","Other",0,0,0
"July","2016","Oil","Unknown",0,0,0
"July","2016","Flooded","Clear and sunny",0,0,0
"July","2016","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2016","Flooded","Raining",3,3,0
"July","2016","Flooded","Snowing, not including drifting snow",0,0,0
"July","2016","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2016","Flooded","Visibility limitation",0,0,0
"July","2016","Flooded","Strong wind",0,0,0
"July","2016","Flooded","Other",1,1,0
"July","2016","Flooded","Unknown",0,0,0
"July","2016","Other","Clear and sunny",26,31,0
"July","2016","Other","Overcast, cloudy but no precipitation",1,2,0
"July","2016","Other","Raining",0,0,0
"July","2016","Other","Snowing, not including drifting snow",0,0,0
"July","2016","Other","Freezing rain, sleet, hail",0,0,0
"July","2016","Other","Visibility limitation",2,2,0
"July","2016","Other","Strong wind",0,0,0
"July","2016","Other","Other",1,1,0
"July","2016","Other","Unknown",1,2,0
"July","2016","Unknown","Clear and sunny",12,14,1
"July","2016","Unknown","Overcast, cloudy but no precipitation",3,3,0
"July","2016","Unknown","Raining",2,5,0
"July","2016","Unknown","Snowing, not including drifting snow",0,0,0
"July","2016","Unknown","Freezing rain, sleet, hail",0,0,0
"July","2016","Unknown","Visibility limitation",0,0,0
"July","2016","Unknown","Strong wind",0,0,0
"July","2016","Unknown","Other",0,0,0
"July","2016","Unknown","Unknown",68,91,2
"July","2017","Dry, normal","Clear and sunny",8537,11702,180
"July","2017","Dry, normal","Overcast, cloudy but no precipitation",525,680,11
"July","2017","Dry, normal","Raining",3,6,0
"July","2017","Dry, normal","Snowing, not including drifting snow",1,1,0
"July","2017","Dry, normal","Freezing rain, sleet, hail",0,0,0
"July","2017","Dry, normal","Visibility limitation",48,75,1
"July","2017","Dry, normal","Strong wind",4,4,0
"July","2017","Dry, normal","Other",4,7,0
"July","2017","Dry, normal","Unknown",42,55,1
"July","2017","Wet","Clear and sunny",111,161,3
"July","2017","Wet","Overcast, cloudy but no precipitation",135,192,2
"July","2017","Wet","Raining",619,845,11
"July","2017","Wet","Snowing, not including drifting snow",1,2,0
"July","2017","Wet","Freezing rain, sleet, hail",1,1,0
"July","2017","Wet","Visibility limitation",16,19,1
"July","2017","Wet","Strong wind",0,0,0
"July","2017","Wet","Other",3,4,0
"July","2017","Wet","Unknown",1,1,0
"July","2017","Snow (fresh, loose snow)","Clear and sunny",0,0,0
"July","2017","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Snow (fresh, loose snow)","Raining",0,0,0
"July","2017","Snow (fresh, loose snow)","Snowing, not including drifting snow",0,0,0
"July","2017","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"July","2017","Snow (fresh, loose snow)","Visibility limitation",0,0,0
"July","2017","Snow (fresh, loose snow)","Strong wind",0,0,0
"July","2017","Snow (fresh, loose snow)","Other",0,0,0
"July","2017","Snow (fresh, loose snow)","Unknown",0,0,0
"July","2017","Slush, wet snow","Clear and sunny",0,0,0
"July","2017","Slush, wet snow","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Slush, wet snow","Raining",0,0,0
"July","2017","Slush, wet snow","Snowing, not including drifting snow",0,0,0
"July","2017","Slush, wet snow","Freezing rain, sleet, hail",0,0,0
"July","2017","Slush, wet snow","Visibility limitation",0,0,0
"July","2017","Slush, wet snow","Strong wind",0,0,0
"July","2017","Slush, wet snow","Other",0,0,0
"July","2017","Slush, wet snow","Unknown",1,1,0
"July","2017","Icy","Clear and sunny",0,0,0
"July","2017","Icy","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Icy","Raining",1,1,0
"July","2017","Icy","Snowing, not including drifting snow",0,0,0
"July","2017","Icy","Freezing rain, sleet, hail",0,0,0
"July","2017","Icy","Visibility limitation",0,0,0
"July","2017","Icy","Strong wind",0,0,0
"July","2017","Icy","Other",0,0,0
"July","2017","Icy","Unknown",0,0,0
"July","2017","Sand/gravel/dirt","Clear and sunny",81,100,1
"July","2017","Sand/gravel/dirt","Overcast, cloudy but no precipitation",9,17,0
"July","2017","Sand/gravel/dirt","Raining",3,5,0
"July","2017","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"July","2017","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"July","2017","Sand/gravel/dirt","Visibility limitation",5,9,0
"July","2017","Sand/gravel/dirt","Strong wind",0,0,0
"July","2017","Sand/gravel/dirt","Other",0,0,0
"July","2017","Sand/gravel/dirt","Unknown",2,2,0
"July","2017","Muddy","Clear and sunny",7,8,0
"July","2017","Muddy","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Muddy","Raining",1,1,0
"July","2017","Muddy","Snowing, not including drifting snow",0,0,0
"July","2017","Muddy","Freezing rain, sleet, hail",0,0,0
"July","2017","Muddy","Visibility limitation",0,0,0
"July","2017","Muddy","Strong wind",0,0,0
"July","2017","Muddy","Other",0,0,0
"July","2017","Muddy","Unknown",0,0,0
"July","2017","Oil","Clear and sunny",4,5,0
"July","2017","Oil","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Oil","Raining",0,0,0
"July","2017","Oil","Snowing, not including drifting snow",0,0,0
"July","2017","Oil","Freezing rain, sleet, hail",0,0,0
"July","2017","Oil","Visibility limitation",0,0,0
"July","2017","Oil","Strong wind",0,0,0
"July","2017","Oil","Other",0,0,0
"July","2017","Oil","Unknown",0,0,0
"July","2017","Flooded","Clear and sunny",0,0,0
"July","2017","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Flooded","Raining",3,3,0
"July","2017","Flooded","Snowing, not including drifting snow",0,0,0
"July","2017","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2017","Flooded","Visibility limitation",0,0,0
"July","2017","Flooded","Strong wind",0,0,0
"July","2017","Flooded","Other",0,0,0
"July","2017","Flooded","Unknown",0,0,0
"July","2017","Other","Clear and sunny",32,39,2
"July","2017","Other","Overcast, cloudy but no precipitation",0,0,0
"July","2017","Other","Raining",3,3,0
"July","2017","Other","Snowing, not including drifting snow",0,0,0
"July","2017","Other","Freezing rain, sleet, hail",0,0,0
"July","2017","Other","Visibility limitation",1,1,0
"July","2017","Other","Strong wind",0,0,0
"July","2017","Other","Other",2,2,0
"July","2017","Other","Unknown",0,0,0
"July","2017","Unknown","Clear and sunny",14,17,1
"July","2017","Unknown","Overcast, cloudy but no precipitation",4,4,0
"July","2017","Unknown","Raining",2,2,0
"July","2017","Unknown","Snowing, not including drifting snow",0,0,0
"July","2017","Unknown","Freezing rain, sleet, hail",0,0,0
"July","2017","Unknown","Visibility limitation",0,0,0
"July","2017","Unknown","Strong wind",0,0,0
"July","2017","Unknown","Other",1,1,0
"July","2017","Unknown","Unknown",74,87,3
"July","2018","Dry, normal","Clear and sunny",8587,11635,178
"July","2018","Dry, normal","Overcast, cloudy but no precipitation",458,614,10
"July","2018","Dry, normal","Raining",10,13,0
"July","2018","Dry, normal","Snowing, not including drifting snow",0,0,0
"July","2018","Dry, normal","Freezing rain, sleet, hail",0,0,0
"July","2018","Dry, normal","Visibility limitation",35,47,3
"July","2018","Dry, normal","Strong wind",5,4,1
"July","2018","Dry, normal","Other",4,4,0
"July","2018","Dry, normal","Unknown",44,61,0
"July","2018","Wet","Clear and sunny",109,158,1
"July","2018","Wet","Overcast, cloudy but no precipitation",85,117,3
"July","2018","Wet","Raining",474,664,8
"July","2018","Wet","Snowing, not including drifting snow",1,1,0
"July","2018","Wet","Freezing rain, sleet, hail",1,0,1
"July","2018","Wet","Visibility limitation",12,14,0
"July","2018","Wet","Strong wind",0,0,0
"July","2018","Wet","Other",4,6,0
"July","2018","Wet","Unknown",2,2,0
"July","2018","Snow (fresh, loose snow)","Clear and sunny",0,0,0
"July","2018","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",0,0,0
"July","2018","Snow (fresh, loose snow)","Raining",1,1,0
"July","2018","Snow (fresh, loose snow)","Snowing, not including drifting snow",0,0,0
"July","2018","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"July","2018","Snow (fresh, loose snow)","Visibility limitation",0,0,0
"July","2018","Snow (fresh, loose snow)","Strong wind",0,0,0
"July","2018","Snow (fresh, loose snow)","Other",0,0,0
"July","2018","Snow (fresh, loose snow)","Unknown",1,1,0
"July","2018","Slush, wet snow","Clear and sunny",0,0,0
"July","2018","Slush, wet snow","Overcast, cloudy but no precipitation",0,0,0
"July","2018","Slush, wet snow","Raining",0,0,0
"July","2018","Slush, wet snow","Snowing, not including drifting snow",0,0,0
"July","2018","Slush, wet snow","Freezing rain, sleet, hail",0,0,0
"July","2018","Slush, wet snow","Visibility limitation",0,0,0
"July","2018","Slush, wet snow","Strong wind",0,0,0
"July","2018","Slush, wet snow","Other",0,0,0
"July","2018","Slush, wet snow","Unknown",0,0,0
"July","2018","Icy","Clear and sunny",1,1,0
"July","2018","Icy","Overcast, cloudy but no precipitation",0,0,0
"July","2018","Icy","Raining",1,2,0
"July","2018","Icy","Snowing, not including drifting snow",0,0,0
"July","2018","Icy","Freezing rain, sleet, hail",0,0,0
"July","2018","Icy","Visibility limitation",0,0,0
"July","2018","Icy","Strong wind",0,0,0
"July","2018","Icy","Other",0,0,0
"July","2018","Icy","Unknown",2,2,0
"July","2018","Sand/gravel/dirt","Clear and sunny",91,112,3
"July","2018","Sand/gravel/dirt","Overcast, cloudy but no precipitation",6,5,1
"July","2018","Sand/gravel/dirt","Raining",2,2,0
"July","2018","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"July","2018","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"July","2018","Sand/gravel/dirt","Visibility limitation",3,6,0
"July","2018","Sand/gravel/dirt","Strong wind",0,0,0
"July","2018","Sand/gravel/dirt","Other",1,1,0
"July","2018","Sand/gravel/dirt","Unknown",2,4,0
"July","2018","Muddy","Clear and sunny",5,5,0
"July","2018","Muddy","Overcast, cloudy but no precipitation",2,2,0
"July","2018","Muddy","Raining",5,5,0
"July","2018","Muddy","Snowing, not including drifting snow",0,0,0
"July","2018","Muddy","Freezing rain, sleet, hail",0,0,0
"July","2018","Muddy","Visibility limitation",0,0,0
"July","2018","Muddy","Strong wind",0,0,0
"July","2018","Muddy","Other",1,1,0
"July","2018","Muddy","Unknown",0,0,0
"July","2018","Oil","Clear and sunny",4,4,0
"July","2018","Oil","Overcast, cloudy but no precipitation",0,0,0
"July","2018","Oil","Raining",0,0,0
"July","2018","Oil","Snowing, not including drifting snow",0,0,0
"July","2018","Oil","Freezing rain, sleet, hail",0,0,0
"July","2018","Oil","Visibility limitation",0,0,0
"July","2018","Oil","Strong wind",0,0,0
"July","2018","Oil","Other",0,0,0
"July","2018","Oil","Unknown",0,0,0
"July","2018","Flooded","Clear and sunny",0,0,0
"July","2018","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2018","Flooded","Raining",0,0,0
"July","2018","Flooded","Snowing, not including drifting snow",0,0,0
"July","2018","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2018","Flooded","Visibility limitation",0,0,0
"July","2018","Flooded","Strong wind",0,0,0
"July","2018","Flooded","Other",1,1,0
"July","2018","Flooded","Unknown",0,0,0
"July","2018","Other","Clear and sunny",24,32,0
"July","2018","Other","Overcast, cloudy but no precipitation",1,2,1
"July","2018","Other","Raining",0,0,0
"July","2018","Other","Snowing, not including drifting snow",1,1,0
"July","2018","Other","Freezing rain, sleet, hail",0,0,0
"July","2018","Other","Visibility limitation",2,4,0
"July","2018","Other","Strong wind",0,0,0
"July","2018","Other","Other",1,1,0
"July","2018","Other","Unknown",0,0,0
"July","2018","Unknown","Clear and sunny",12,13,2
"July","2018","Unknown","Overcast, cloudy but no precipitation",1,1,0
"July","2018","Unknown","Raining",0,0,0
"July","2018","Unknown","Snowing, not including drifting snow",0,0,0
"July","2018","Unknown","Freezing rain, sleet, hail",0,0,0
"July","2018","Unknown","Visibility limitation",0,0,0
"July","2018","Unknown","Strong wind",0,0,0
"July","2018","Unknown","Other",0,0,0
"July","2018","Unknown","Unknown",60,68,2
"July","2019","Dry, normal","Clear and sunny",7963,10866,152
"July","2019","Dry, normal","Overcast, cloudy but no precipitation",513,677,11
"July","2019","Dry, normal","Raining",9,14,0
"July","2019","Dry, normal","Snowing, not including drifting snow",0,0,0
"July","2019","Dry, normal","Freezing rain, sleet, hail",0,0,0
"July","2019","Dry, normal","Visibility limitation",32,36,2
"July","2019","Dry, normal","Strong wind",5,6,0
"July","2019","Dry, normal","Other",6,9,0
"July","2019","Dry, normal","Unknown",42,50,0
"July","2019","Wet","Clear and sunny",104,126,3
"July","2019","Wet","Overcast, cloudy but no precipitation",94,129,0
"July","2019","Wet","Raining",484,639,10
"July","2019","Wet","Snowing, not including drifting snow",0,0,0
"July","2019","Wet","Freezing rain, sleet, hail",4,5,0
"July","2019","Wet","Visibility limitation",12,13,0
"July","2019","Wet","Strong wind",2,2,0
"July","2019","Wet","Other",3,5,0
"July","2019","Wet","Unknown",6,8,0
"July","2019","Snow (fresh, loose snow)","Clear and sunny",0,0,0
"July","2019","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Snow (fresh, loose snow)","Raining",1,1,0
"July","2019","Snow (fresh, loose snow)","Snowing, not including drifting snow",0,0,0
"July","2019","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"July","2019","Snow (fresh, loose snow)","Visibility limitation",0,0,0
"July","2019","Snow (fresh, loose snow)","Strong wind",0,0,0
"July","2019","Snow (fresh, loose snow)","Other",0,0,0
"July","2019","Snow (fresh, loose snow)","Unknown",0,0,0
"July","2019","Slush, wet snow","Clear and sunny",0,0,0
"July","2019","Slush, wet snow","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Slush, wet snow","Raining",0,0,0
"July","2019","Slush, wet snow","Snowing, not including drifting snow",0,0,0
"July","2019","Slush, wet snow","Freezing rain, sleet, hail",0,0,0
"July","2019","Slush, wet snow","Visibility limitation",0,0,0
"July","2019","Slush, wet snow","Strong wind",0,0,0
"July","2019","Slush, wet snow","Other",0,0,0
"July","2019","Slush, wet snow","Unknown",0,0,0
"July","2019","Icy","Clear and sunny",1,1,0
"July","2019","Icy","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Icy","Raining",0,0,0
"July","2019","Icy","Snowing, not including drifting snow",0,0,0
"July","2019","Icy","Freezing rain, sleet, hail",0,0,0
"July","2019","Icy","Visibility limitation",0,0,0
"July","2019","Icy","Strong wind",0,0,0
"July","2019","Icy","Other",0,0,0
"July","2019","Icy","Unknown",0,0,0
"July","2019","Sand/gravel/dirt","Clear and sunny",72,94,2
"July","2019","Sand/gravel/dirt","Overcast, cloudy but no precipitation",8,8,0
"July","2019","Sand/gravel/dirt","Raining",1,1,0
"July","2019","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"July","2019","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"July","2019","Sand/gravel/dirt","Visibility limitation",2,3,0
"July","2019","Sand/gravel/dirt","Strong wind",1,1,0
"July","2019","Sand/gravel/dirt","Other",0,0,0
"July","2019","Sand/gravel/dirt","Unknown",2,4,0
"July","2019","Muddy","Clear and sunny",2,2,0
"July","2019","Muddy","Overcast, cloudy but no precipitation",1,1,0
"July","2019","Muddy","Raining",1,1,0
"July","2019","Muddy","Snowing, not including drifting snow",0,0,0
"July","2019","Muddy","Freezing rain, sleet, hail",0,0,0
"July","2019","Muddy","Visibility limitation",0,0,0
"July","2019","Muddy","Strong wind",0,0,0
"July","2019","Muddy","Other",1,1,0
"July","2019","Muddy","Unknown",0,0,0
"July","2019","Oil","Clear and sunny",3,3,0
"July","2019","Oil","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Oil","Raining",0,0,0
"July","2019","Oil","Snowing, not including drifting snow",0,0,0
"July","2019","Oil","Freezing rain, sleet, hail",0,0,0
"July","2019","Oil","Visibility limitation",0,0,0
"July","2019","Oil","Strong wind",0,0,0
"July","2019","Oil","Other",0,0,0
"July","2019","Oil","Unknown",0,0,0
"July","2019","Flooded","Clear and sunny",0,0,0
"July","2019","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Flooded","Raining",0,0,0
"July","2019","Flooded","Snowing, not including drifting snow",0,0,0
"July","2019","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2019","Flooded","Visibility limitation",0,0,0
"July","2019","Flooded","Strong wind",0,0,0
"July","2019","Flooded","Other",1,1,0
"July","2019","Flooded","Unknown",0,0,0
"July","2019","Other","Clear and sunny",16,19,3
"July","2019","Other","Overcast, cloudy but no precipitation",0,0,0
"July","2019","Other","Raining",3,3,0
"July","2019","Other","Snowing, not including drifting snow",0,0,0
"July","2019","Other","Freezing rain, sleet, hail",1,1,0
"July","2019","Other","Visibility limitation",1,1,0
"July","2019","Other","Strong wind",0,0,0
"July","2019","Other","Other",3,4,0
"July","2019","Other","Unknown",0,0,0
"July","2019","Unknown","Clear and sunny",9,16,0
"July","2019","Unknown","Overcast, cloudy but no precipitation",3,2,1
"July","2019","Unknown","Raining",1,1,0
"July","2019","Unknown","Snowing, not including drifting snow",0,0,0
"July","2019","Unknown","Freezing rain, sleet, hail",0,0,0
"July","2019","Unknown","Visibility limitation",1,1,0
"July","2019","Unknown","Strong wind",0,0,0
"July","2019","Unknown","Other",2,1,1
"July","2019","Unknown","Unknown",71,91,4
"July","2020","Dry, normal","Clear and sunny",6262,8167,157
"July","2020","Dry, normal","Overcast, cloudy but no precipitation",484,630,9
"July","2020","Dry, normal","Raining",6,9,0
"July","2020","Dry, normal","Snowing, not including drifting snow",0,0,0
"July","2020","Dry, normal","Freezing rain, sleet, hail",1,1,0
"July","2020","Dry, normal","Visibility limitation",24,29,0
"July","2020","Dry, normal","Strong wind",3,5,0
"July","2020","Dry, normal","Other",6,10,1
"July","2020","Dry, normal","Unknown",29,34,2
"July","2020","Wet","Clear and sunny",79,96,3
"July","2020","Wet","Overcast, cloudy but no precipitation",94,129,0
"July","2020","Wet","Raining",435,577,11
"July","2020","Wet","Snowing, not including drifting snow",0,0,0
"July","2020","Wet","Freezing rain, sleet, hail",0,0,0
"July","2020","Wet","Visibility limitation",12,21,1
"July","2020","Wet","Strong wind",3,4,0
"July","2020","Wet","Other",2,4,0
"July","2020","Wet","Unknown",6,9,0
"July","2020","Snow (fresh, loose snow)","Clear and sunny",0,0,0
"July","2020","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",0,0,0
"July","2020","Snow (fresh, loose snow)","Raining",1,1,0
"July","2020","Snow (fresh, loose snow)","Snowing, not including drifting snow",0,0,0
"July","2020","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"July","2020","Snow (fresh, loose snow)","Visibility limitation",0,0,0
"July","2020","Snow (fresh, loose snow)","Strong wind",0,0,0
"July","2020","Snow (fresh, loose snow)","Other",0,0,0
"July","2020","Snow (fresh, loose snow)","Unknown",0,0,0
"July","2020","Slush, wet snow","Clear and sunny",0,0,0
"July","2020","Slush, wet snow","Overcast, cloudy but no precipitation",0,0,0
"July","2020","Slush, wet snow","Raining",0,0,0
"July","2020","Slush, wet snow","Snowing, not including drifting snow",0,0,0
"July","2020","Slush, wet snow","Freezing rain, sleet, hail",0,0,0
"July","2020","Slush, wet snow","Visibility limitation",0,0,0
"July","2020","Slush, wet snow","Strong wind",0,0,0
"July","2020","Slush, wet snow","Other",0,0,0
"July","2020","Slush, wet snow","Unknown",0,0,0
"July","2020","Icy","Clear and sunny",1,1,0
"July","2020","Icy","Overcast, cloudy but no precipitation",1,1,0
"July","2020","Icy","Raining",0,0,0
"July","2020","Icy","Snowing, not including drifting snow",0,0,0
"July","2020","Icy","Freezing rain, sleet, hail",0,0,0
"July","2020","Icy","Visibility limitation",0,0,0
"July","2020","Icy","Strong wind",0,0,0
"July","2020","Icy","Other",0,0,0
"July","2020","Icy","Unknown",0,0,0
"July","2020","Sand/gravel/dirt","Clear and sunny",61,75,4
"July","2020","Sand/gravel/dirt","Overcast, cloudy but no precipitation",11,12,0
"July","2020","Sand/gravel/dirt","Raining",1,1,0
"July","2020","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"July","2020","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"July","2020","Sand/gravel/dirt","Visibility limitation",1,2,0
"July","2020","Sand/gravel/dirt","Strong wind",0,0,0
"July","2020","Sand/gravel/dirt","Other",1,2,0
"July","2020","Sand/gravel/dirt","Unknown",4,6,0
"July","2020","Muddy","Clear and sunny",7,10,0
"July","2020","Muddy","Overcast, cloudy but no precipitation",1,1,0
"July","2020","Muddy","Raining",5,9,0
"July","2020","Muddy","Snowing, not including drifting snow",0,0,0
"July","2020","Muddy","Freezing rain, sleet, hail",0,0,0
"July","2020","Muddy","Visibility limitation",0,0,0
"July","2020","Muddy","Strong wind",0,0,0
"July","2020","Muddy","Other",1,1,0
"July","2020","Muddy","Unknown",0,0,0
"July","2020","Oil","Clear and sunny",4,4,0
"July","2020","Oil","Overcast, cloudy but no precipitation",0,0,0
"July","2020","Oil","Raining",0,0,0
"July","2020","Oil","Snowing, not including drifting snow",0,0,0
"July","2020","Oil","Freezing rain, sleet, hail",0,0,0
"July","2020","Oil","Visibility limitation",0,0,0
"July","2020","Oil","Strong wind",0,0,0
"July","2020","Oil","Other",0,0,0
"July","2020","Oil","Unknown",0,0,0
"July","2020","Flooded","Clear and sunny",0,0,0
"July","2020","Flooded","Overcast, cloudy but no precipitation",0,0,0
"July","2020","Flooded","Raining",0,0,0
"July","2020","Flooded","Snowing, not including drifting snow",0,0,0
"July","2020","Flooded","Freezing rain, sleet, hail",0,0,0
"July","2020","Flooded","Visibility limitation",0,0,0
"July","2020","Flooded","Strong wind",0,0,0
"July","2020","Flooded","Other",1,1,0
"July","2020","Flooded","Unknown",0,0,0
"July","2020","Other","Clear and sunny",22,29,1
"July","2020","Other","Overcast, cloudy but no precipitation",0,0,0
"July","2020","Other","Raining",0,0,0
"July","2020","Other","Snowing, not including drifting snow",0,0,0
"July","2020","Other","Freezing rain, sleet, hail",0,0,0
"July","2020","Other","Visibility limitation",2,2,0
"July","2020","Other","Strong wind",0,0,0
"July","2020","Other","Other",2,1,1
"July","2020","Other","Unknown",1,3,1
"July","2020","Unknown","Clear and sunny",21,29,0
